Limit Cost:;1000;

Num;Rel;Cost;Times;IterNum;Time(sec);GetTime_num;Sim_num;
0;0.967402414004;675;[-1,-1,-1,-1,-1,-1];91;0.1672270298;5099;0;
1;0.967360814877;647;[-1,-1,-1,-1,-1,-1];92;0.184015989304;5157;0;
2;0.967459496237;683;[-1,-1,-1,-1,-1,-1];119;0.230490922928;6685;0;
3;0.967207961219;653;[-1,-1,-1,-1,-1,-1];82;0.165057897568;4517;0;
4;0.967437273766;873;[-1,-1,-1,-1,-1,-1];118;0.244761943817;6715;0;
;
Min rel:;Max rel:;Avg rel:;Min iter:;Max iter:;Avg iter:;Min tc:;Max tc:;Avg tc:;Min sc:;Max sc:;Avg sc:;Min time:;Max time:;Avg time:;
0.967207961219;0.967459496237;0.967373592021;82;119;100;4517;6715;5634;0;0;0;0.165057897568;0.244761943817;0.198310756683;
